Plate_number	Sample_name	Replicate	Sample_type	Treatment	Blanking_group	Dilution_factor	Standard_group	Ave_abs_blanked	StdDev_abs_blanked	Ave_concentration	StdDev_concentration	Concentration_units
1	t3_11	1	Unknown	Fe2	Fe2	1.09	1	0.02515	0.001202082	36.6389582	1.751213315	uM
1	t3_11	1	Unknown	FeTot	FeTot	1.09	1	0.0639	7.07E-05	93.09063337	0.103012548	uM
1	t3_12	1	Unknown	Fe2	Fe2	1.09	1	0.03675	0.00106066	53.53804032	1.545188219	uM
1	t3_12	1	Unknown	FeTot	FeTot	1.09	1	0.07705	0	112.2477825	0	uM
1	t3_13	1	Unknown	Fe2	Fe2	1.09	1	0.0443	0.001979899	64.53701187	2.884351342	uM
1	t3_13	1	Unknown	FeTot	FeTot	1.09	1	0.0768	0.001202082	111.8835781	1.751213315	uM
1	t3_14	1	Unknown	Fe2	Fe2	1.09	1	0.044	0.000424264	64.09996664	0.618075288	uM
1	t3_14	1	Unknown	FeTot	FeTot	1.09	1	0.07765	0.001555635	113.1218729	2.266276054	uM
1	t3_15	1	Unknown	Fe2	Fe2	1.09	1	0.03655	0.000494975	53.24667683	0.721087835	uM
1	t3_15	1	Unknown	FeTot	FeTot	1.09	1	0.0748	0.000494975	108.9699433	0.721087835	uM
1	t3_16	1	Unknown	Fe2	Fe2	1.09	1	0.03935	0.000353553	57.32576562	0.51506274	uM
1	t3_16	1	Unknown	FeTot	FeTot	1.09	1	0.07855	0.000282843	114.4330086	0.412050192	uM
1	t3_2	1	Unknown	Fe2	Fe2	1.09	1	0.0749	0.000424264	109.115625	0.618075288	uM
1	t3_2	1	Unknown	FeTot	FeTot	1.09	1	0.08635	0.000707107	125.7961845	1.030125479	uM
1	t3_3	1	Unknown	Fe2	Fe2	1.09	1	0.0399	0.001555635	58.1270152	2.266276054	uM
1	t3_3	1	Unknown	FeTot	FeTot	1.09	1	0.06795	0.000282843	98.99074393	0.412050192	uM
1	t3_4	1	Unknown	Fe2	Fe2	1.09	1	0.0421	0.001131371	61.33201353	1.648200767	uM
1	t3_4	1	Unknown	FeTot	FeTot	1.09	1	0.07925	0.000565685	115.4527808	0.824100383	uM
1	t3_5	1	Unknown	Fe2	Fe2	1.09	1	0.03685	0.005444722	53.68372206	7.93196619	uM
1	t3_5	1	Unknown	FeTot	FeTot	1.09	1	0.0703	0.000636396	102.4142649	0.927112931	uM
1	t3_6	1	Unknown	Fe2	Fe2	1.09	1	0.0368	0.000141421	53.61088119	0.206025096	uM
1	t3_6	1	Unknown	FeTot	FeTot	1.09	1	0.07475	0.002545584	108.8971024	3.708451725	uM
1	t3_7	1	Unknown	Fe2	Fe2	1.09	1	0.07045	0.001343503	102.6327875	1.95723841	uM
1	t3_7	1	Unknown	FeTot	FeTot	1.09	1	0.0815	0.00106066	118.73062	1.545188219	uM
1	t3_8	1	Unknown	Fe2	Fe2	1.09	1	0.06285	0.003040559	91.56097507	4.42953956	uM
1	t3_8	1	Unknown	FeTot	FeTot	1.09	1	0.07615	0.000848528	110.9366468	1.236150575	uM
1	t3_9	1	Unknown	Fe2	Fe2	1.09	1	0.0424	0.000565685	61.76905876	0.824100383	uM
1	t3_9	1	Unknown	FeTot	FeTot	1.09	1	0.0783	0.000777817	114.0688043	1.133138027	uM
2	t4_1	1	Unknown	Fe2	Fe2	1.09	1	0.0626	0.006010408	91.19677072	8.756066573	uM
2	t4_1	1	Unknown	FeTot	FeTot	1.09	1	0.07275	0.001484924	105.9834676	2.163263506	uM
2	t4_10	1	Unknown	Fe2	Fe2	1.09	1	0.045	0.000777817	65.55678406	1.133138027	uM
2	t4_10	1	Unknown	FeTot	FeTot	1.09	1	0.0737	0.000565685	107.3674441	0.824100383	uM
2	t4_11	1	Unknown	Fe2	Fe2	1.09	1	0.026	0.000919239	37.87725301	1.339163123	uM
2	t4_11	1	Unknown	FeTot	FeTot	1.09	1	0.0661	0.000565685	96.2956317	0.824100383	uM
2	t4_12	1	Unknown	Fe2	Fe2	1.09	1	0.03405	0.001414214	49.60463327	2.060250958	uM
2	t4_12	1	Unknown	FeTot	FeTot	1.09	1	0.0806	0.002404163	117.4194843	3.502426629	uM
2	t4_13	1	Unknown	Fe2	Fe2	1.09	1	0.0098	0.001343503	14.27681075	1.95723841	uM
2	t4_13	1	Unknown	FeTot	FeTot	1.09	1	0.07095	0.002474874	103.3611962	3.605439177	uM
2	t4_14	1	Unknown	Fe2	Fe2	1.09	1	0.0104	0.000636396	15.15090121	0.927112931	uM
2	t4_14	1	Unknown	FeTot	FeTot	1.09	1	0.0721	0	105.0365362	0	uM
2	t4_15	1	Unknown	Fe2	Fe2	1.09	1	0.03485	0.000989949	50.77008721	1.442175671	uM
