"Plate_number"	"Well"	"Absorbance"	"Sample_name"	"Replicate"	"Sample_type"	"Treatment"	"Blanking_group"	"Dilution_factor"	"Standard_conc"
3	"C9"	0.1667	""	NA	""	"FeTot"	"FeTot"	NA	NA
3	"C10"	0.0258	""	NA	""	"FeTot"	"FeTot"	NA	NA
3	"D9"	0.1091	"t1_4"	1	"Unknown"	"FeTot"	"FeTot"	1.09	NA
3	"D10"	0.1064	"t1_4"	1	"Unknown"	"FeTot"	"FeTot"	1.09	NA
3	"E9"	0.1022	"t1_5"	1	"Unknown"	"FeTot"	"FeTot"	1.09	NA
3	"E10"	0.1004	"t1_5"	1	"Unknown"	"FeTot"	"FeTot"	1.09	NA
3	"F9"	0.103	"t1_6"	1	"Unknown"	"FeTot"	"FeTot"	1.09	NA
3	"F10"	0.1026	"t1_6"	1	"Unknown"	"FeTot"	"FeTot"	1.09	NA
3	"G9"	0.1104	"t1_7"	1	"Unknown"	"FeTot"	"FeTot"	1.09	NA
3	"G10"	0.1092	"t1_7"	1	"Unknown"	"FeTot"	"FeTot"	1.09	NA
3	"H9"	0.1058	"t1_8"	1	"Unknown"	"FeTot"	"FeTot"	1.09	NA
3	"H10"	0.1066	"t1_8"	1	"Unknown"	"FeTot"	"FeTot"	1.09	NA
3	"A11"	0.105	"t1_9"	1	"Unknown"	"FeTot"	"FeTot"	1.09	NA
3	"A12"	0.1093	"t1_9"	1	"Unknown"	"FeTot"	"FeTot"	1.09	NA
3	"B11"	0.0982	"t1_10"	1	"Unknown"	"FeTot"	"FeTot"	1.09	NA
3	"B12"	0.0997	"t1_10"	1	"Unknown"	"FeTot"	"FeTot"	1.09	NA
3	"C11"	0.0928	"t1_11"	1	"Unknown"	"FeTot"	"FeTot"	1.09	NA
3	"C12"	0.0945	"t1_11"	1	"Unknown"	"FeTot"	"FeTot"	1.09	NA
3	"D11"	0.1042	"t1_12"	1	"Unknown"	"FeTot"	"FeTot"	1.09	NA
3	"D12"	0.1055	"t1_12"	1	"Unknown"	"FeTot"	"FeTot"	1.09	NA
3	"E11"	0.1108	"t1_13"	1	"Unknown"	"FeTot"	"FeTot"	1.09	NA
3	"E12"	0.11	"t1_13"	1	"Unknown"	"FeTot"	"FeTot"	1.09	NA
3	"F11"	0.1102	"t1_14"	1	"Unknown"	"FeTot"	"FeTot"	1.09	NA
3	"F12"	0.1098	"t1_14"	1	"Unknown"	"FeTot"	"FeTot"	1.09	NA
3	"G11"	0.1024	"t1_15"	1	"Unknown"	"FeTot"	"FeTot"	1.09	NA
3	"G12"	0.105	"t1_15"	1	"Unknown"	"FeTot"	"FeTot"	1.09	NA
3	"H11"	0.1176	""	NA	""	"FeTot"	"FeTot"	NA	NA
3	"H12"	0.1042	"t1_16"	1	"Unknown"	"FeTot"	"FeTot"	1.09	NA
4	"A1"	0.026	"Blank"	1	"Blank"	"Fe2"	"Fe2"	1	NA
4	"A2"	0.028	"Blank"	1	"Blank"	"Fe2"	"Fe2"	1	NA
4	"B1"	0.0308	""	NA	""	"Fe2"	"Fe2"	NA	NA
4	"B2"	0.0308	""	NA	""	"Fe2"	"Fe2"	NA	NA
4	"C1"	0.0309	""	NA	""	"Fe2"	"Fe2"	NA	NA
