"Plate_number"	"Well"	"Absorbance"	"Sample_name"	"Replicate"	"Sample_type"	"Treatment"	"Blanking_group"	"Dilution_factor"	"Standard_conc"
2	"E10"	0.0989	"t9_5"	1	"Unknown"	"FeTot"	"FeTot"	1.09	NA
2	"F9"	0.1032	"t9_6"	1	"Unknown"	"FeTot"	"FeTot"	1.09	NA
2	"F10"	0.1034	"t9_6"	1	"Unknown"	"FeTot"	"FeTot"	1.09	NA
2	"G9"	0.0976	"t9_7"	1	"Unknown"	"FeTot"	"FeTot"	1.09	NA
2	"G10"	0.0964	"t9_7"	1	"Unknown"	"FeTot"	"FeTot"	1.09	NA
2	"H9"	0.0952	"t9_8"	1	"Unknown"	"FeTot"	"FeTot"	1.09	NA
2	"H10"	0.0913	"t9_8"	1	"Unknown"	"FeTot"	"FeTot"	1.09	NA
2	"A11"	0.1069	"t9_9"	1	"Unknown"	"FeTot"	"FeTot"	1.09	NA
2	"A12"	0.1083	"t9_9"	1	"Unknown"	"FeTot"	"FeTot"	1.09	NA
2	"B11"	0.1008	"t9_10"	1	"Unknown"	"FeTot"	"FeTot"	1.09	NA
2	"B12"	0.1061	"t9_10"	1	"Unknown"	"FeTot"	"FeTot"	1.09	NA
2	"C11"	0.0948	"t9_11"	1	"Unknown"	"FeTot"	"FeTot"	1.09	NA
2	"C12"	0.0932	"t9_11"	1	"Unknown"	"FeTot"	"FeTot"	1.09	NA
2	"D11"	0.1053	"t9_12"	1	"Unknown"	"FeTot"	"FeTot"	1.09	NA
2	"D12"	0.1058	"t9_12"	1	"Unknown"	"FeTot"	"FeTot"	1.09	NA
2	"E11"	0.1017	"t9_13"	1	"Unknown"	"FeTot"	"FeTot"	1.09	NA
2	"E12"	0.0974	"t9_13"	1	"Unknown"	"FeTot"	"FeTot"	1.09	NA
2	"F11"	0.1023	"t9_14"	1	"Unknown"	"FeTot"	"FeTot"	1.09	NA
2	"F12"	0.1001	"t9_14"	1	"Unknown"	"FeTot"	"FeTot"	1.09	NA
2	"G11"	0.1026	"t9_15"	1	"Unknown"	"FeTot"	"FeTot"	1.09	NA
2	"G12"	0.1046	"t9_15"	1	"Unknown"	"FeTot"	"FeTot"	1.09	NA
2	"H11"	0.1054	"t9_16"	1	"Unknown"	"FeTot"	"FeTot"	1.09	NA
2	"H12"	0.1063	"t9_16"	1	"Unknown"	"FeTot"	"FeTot"	1.09	NA
